Strain,B1_req,B2_req,B3_req,B5_req,B6_req,B9_req,B12_req,Kx_req,B1_syn,B2_syn,B3_syn,B5_syn,B6_syn,B9_syn,B12_syn,Kx_syn,Cluster
Kocuria_rhizophila_DC2201,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Kurthia_massiliensis_JC30,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,None
Kytococcus_sedentarius_DSM_20547,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,B5++
Lachnospiraceae_bacterium_sp_5_1_63FAA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,()
Lachnospiraceae_bacterium_sp_8_1_57FAA,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,B6
Lachnospira_multipara_ATCC_19207,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Lactobacillus_acidophilus_ATCC_4796,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,None
Lactobacillus_acidophilus_NCFM,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,None
Lactobacillus_amylolyticus_DSM_11664,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_amylovorus_GRL_1112,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,B6++
Lactobacillus_animalis_KCTC_3501,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Lactobacillus_antri_DSM_16041,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,B6+
Lactobacillus_brevis_ATCC_367,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,B6+
Lactobacillus_brevis_subsp_gravesensis_ATCC_27305,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,None
Lactobacillus_buchneri_ATCC_11577,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,None
Lactobacillus_casei_ATCC_334,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_casei_casei_BL23,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_coleohominis_101_4_CHN,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Lactobacillus_coryniformis_subsp_coryniformis_CECT_5711,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Lactobacillus_crispatus_125_2_CHN,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,B6+
Lactobacillus_curvatus_CRL_705,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,B6+
Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_fermentum_ATCC_14931,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,B3+
Lactobacillus_fermentum_IFO_3956,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,B1+B3+B5+
Lactobacillus_gasseri_ATCC_33323,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,B6++
Lactobacillus_gastricus_PS3,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,B6++
Lactobacillus_helveticus_DSM_20075,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,B6+
Lactobacillus_hilgardii_ATCC_8290,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,None
Lactobacillus_iners_DSM_13335,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Lactobacillus_jensenii_1153,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Lactobacillus_johnsonii_DPC_6026,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,B6++
Lactobacillus_johnsonii_NCC_533,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,B6++
Lactobacillus_mucosae_LM1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,B6++
Lactobacillus_oris_F0423,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,B6++
Lactobacillus_paracasei_subsp_paracasei_8700_2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_pentosus_KCA1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,B6++
Lactobacillus_plantarum_JDM1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,B6+
Lactobacillus_plantarum_subsp_plantarum_ATCC_14917,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,B3+
Lactobacillus_plantarum_WCFS1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,B6+
Lactobacillus_reuteri_CF48_3A_,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,B6+
Lactobacillus_reuteri_F275_JCM_1112,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,B6+
Lactobacillus_reuteri_MM2_3_,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,B6+
